/mnt/nvme0/home/gxr/Myhash_boc/Hash_rt/build/hash_rt --num_threads_client=8 --num_threads_worker=8 --str_key_size=8 --str_value_size=100 --num_ops=5000000 --first_mode=true --work_usec=0 --batch_size=80
Init time:518366822
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 230
Exchange duration: 200
Exchange duration: 130
Exchange duration: 130
Exchange duration: 150
Exchange duration: 210
Exchange duration: 240
Exchange duration: 220
Exchange duration: 110
Exchange duration: 230
Exchange duration: 220
Exchange duration: 120
Exchange duration: 200
Exchange duration: 330
Exchange duration: 230
Exchange duration: 220
Exchange duration: 130
Exchange duration: 110
Exchange duration: 200
Exchange duration: 250
Exchange duration: 140
Exchange duration: 130
Exchange duration: 60
Exchange duration: 230
Exchange duration: 290
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 190
Exchange duration: 240
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 370
Exchange duration: 370
Exchange duration: 210
Exchange duration: 200
Exchange duration: 150
Exchange duration: 130
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 200
Exchange duration: 220
Exchange duration: 600
Exchange duration: 50
Exchange duration: 200
Exchange duration: 230
Exchange duration: 260
Exchange duration: 300
Exchange duration: 200
Exchange duration: 560
Exchange duration: 390
Exchange duration: 460
Exchange duration: 210
Exchange duration: 240
Exchange duration: 260
Exchange duration: 130
Exchange duration: 220
Exchange duration: 140
Exchange duration: 240
Exchange duration: 270
Exchange duration: 230
Exchange duration: 210
Exchange duration: 380
Exchange duration: 140
Exchange duration: 150
Exchange duration: 210
Exchange duration: 150
Exchange duration: 230
Exchange duration: 230
Exchange duration: 220
Exchange duration: 210
Exchange duration: 220
Exchange duration: 240
Exchange duration: 190
Exchange duration: 290
Exchange duration: 240
Exchange duration: 140
Exchange duration: 240
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 300
Exchange duration: 220
Exchange duration: 130
Exchange duration: 240
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 120
Exchange duration: 240
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 220
Exchange duration: 170
Exchange duration: 140
Exchange duration: 230
Exchange duration: 220
Exchange duration: 220
Exchange duration: 200
Exchange duration: 140
Exchange duration: 220
Exchange duration: 220
Exchange duration: 150
Exchange duration: 260
Exchange duration: 240
Exchange duration: 260
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 420
Exchange duration: 200
Exchange duration: 190
Exchange duration: 230
Exchange duration: 330
Exchange duration: 220
Exchange duration: 130
Exchange duration: 220
Exchange duration: 140
Exchange duration: 200
Exchange duration: 240
Exchange duration: 370
Exchange duration: 210
Exchange duration: 310
Exchange duration: 200
Exchange duration: 230
Exchange duration: 210
Exchange duration: 140
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 140
Exchange duration: 250
Exchange duration: 230
Exchange duration: 210
Exchange duration: 150
Exchange duration: 210
Exchange duration: 130
Exchange duration: 200
Exchange duration: 130
Exchange duration: 320
Exchange duration: 240
Exchange duration: 210
Exchange duration: 190
Exchange duration: 750
Exchange duration: 220
Exchange duration: 150
Exchange duration: 500
Exchange duration: 250
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 120
Exchange duration: 70
Exchange duration: 220
Exchange duration: 250
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 400
Exchange duration: 160
Exchange duration: 220
Exchange duration: 200
Exchange duration: 260
Exchange duration: 200
Exchange duration: 140
Exchange duration: 250
Exchange duration: 230
Exchange duration: 330
Exchange duration: 290
Exchange duration: 460
Exchange duration: 60
Exchange duration: 130
Exchange duration: 220
Exchange duration: 210
Exchange duration: 140
Exchange duration: 200
Exchange duration: 230
Exchange duration: 210
Exchange duration: 200
Exchange duration: 220
Exchange duration: 220
Exchange duration: 230
Exchange duration: 210
Exchange duration: 150
Exchange duration: 130
Exchange duration: 230
Exchange duration: 200
Exchange duration: 120
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 210
Exchange duration: 60
Exchange duration: 220
Exchange duration: 220
Exchange duration: 190
Exchange duration: 230
Exchange duration: 230
Exchange duration: 280
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 210
Exchange duration: 230
Exchange duration: 230
Exchange duration: 230
Exchange duration: 230
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 140
Exchange duration: 220
Exchange duration: 230
Exchange duration: 210
Exchange duration: 240
Exchange duration: 250
Exchange duration: 120
Exchange duration: 210
Exchange duration: 220
Exchange duration: 330
Exchange duration: 240
Exchange duration: 190
Exchange duration: 50
Exchange duration: 240
Exchange duration: 210
Exchange duration: 220
Exchange duration: 110
Exchange duration: 200
Exchange duration: 60
Exchange duration: 130
Exchange duration: 310
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 250
Exchange duration: 240
Exchange duration: 220
Exchange duration: 210
Exchange duration: 130
Exchange duration: 250
Exchange duration: 60
Exchange duration: 220
Exchange duration: 240
Exchange duration: 250
Exchange duration: 210
Exchange duration: 200
Exchange duration: 260
Exchange duration: 120
Exchange duration: 200
Exchange duration: 220
Exchange duration: 450
Exchange duration: 210
Exchange duration: 190
Exchange duration: 130
Exchange duration: 210
Exchange duration: 130
Exchange duration: 130
Exchange duration: 200
Exchange duration: 210
Exchange duration: 240
Exchange duration: 230
Exchange duration: 240
Exchange duration: 230
Exchange duration: 230
Exchange duration: 550
Exchange duration: 210
Exchange duration: 130
Exchange duration: 280
Exchange duration: 140
Exchange duration: 150
Exchange duration: 210
Exchange duration: 220
Exchange duration: 260
Exchange duration: 130
Exchange duration: 220
Exchange duration: 140
Exchange duration: 220
Exchange duration: 210
Exchange duration: 120
Exchange duration: 240
Exchange duration: 210
Exchange duration: 120
Exchange duration: 220
Exchange duration: 540
Exchange duration: 210
Exchange duration: 220
Exchange duration: 260
Exchange duration: 230
Exchange duration: 140
Exchange duration: 240
Exchange duration: 490
Exchange duration: 210
Exchange duration: 140
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 130
Exchange duration: 210
Exchange duration: 220
Exchange duration: 220
Exchange duration: 360
Exchange duration: 230
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 200
Exchange duration: 120
Exchange duration: 210
Exchange duration: 130
Exchange duration: 130
Exchange duration: 240
Exchange duration: 120
Exchange duration: 430
Exchange duration: 200
Exchange duration: 230
Exchange duration: 200
Exchange duration: 220
Exchange duration: 210
Exchange duration: 120
Exchange duration: 220
Exchange duration: 120
Exchange duration: 150
Exchange duration: 240
Exchange duration: 200
Exchange duration: 230
Exchange duration: 200
Exchange duration: 220
Exchange duration: 60
Exchange duration: 220
Exchange duration: 190
Exchange duration: 230
Exchange duration: 220
Exchange duration: 150
Exchange duration: 210
Exchange duration: 240
Exchange duration: 210
Exchange duration: 130
Exchange duration: 230
Exchange duration: 230
Exchange duration: 330
Exchange duration: 120
Exchange duration: 260
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 230
Exchange duration: 130
Exchange duration: 220
Exchange duration: 140
Exchange duration: 230
Exchange duration: 140
Exchange duration: 220
Exchange duration: 230
Exchange duration: 190
Exchange duration: 220
Exchange duration: 210
Exchange duration: 250
Exchange duration: 140
Exchange duration: 210
Exchange duration: 220
Exchange duration: 130
Exchange duration: 250
Exchange duration: 210
Exchange duration: 290
Exchange duration: 130
Exchange duration: 210
Exchange duration: 210
Exchange duration: 120
Exchange duration: 230
Exchange duration: 210
Exchange duration: 220
Exchange duration: 240
Exchange duration: 220
Exchange duration: 230
Exchange duration: 220
Exchange duration: 200
Exchange duration: 200
Exchange duration: 300
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 560
Exchange duration: 200
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 120
Exchange duration: 120
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 220
Exchange duration: 200
Exchange duration: 230
Exchange duration: 220
Exchange duration: 200
Exchange duration: 110
Exchange duration: 210
Exchange duration: 120
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 480
Exchange duration: 240
Exchange duration: 200
Exchange duration: 300
Exchange duration: 60
Exchange duration: 200
Exchange duration: 220
Exchange duration: 230
Exchange duration: 130
Exchange duration: 150
Exchange duration: 220
Exchange duration: 200
Exchange duration: 210
Exchange duration: 250
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 200
Exchange duration: 210
Exchange duration: 130
Exchange duration: 130
Exchange duration: 130
Exchange duration: 240
Exchange duration: 210
Exchange duration: 210
Exchange duration: 210
Exchange duration: 160
Exchange duration: 210
Exchange duration: 210
Exchange duration: 770
Exchange duration: 130
Exchange duration: 120
Exchange duration: 220
Exchange duration: 540
Exchange duration: 150
Exchange duration: 150
Exchange duration: 220
Exchange duration: 140
Exchange duration: 210
Exchange duration: 130
Exchange duration: 230
Exchange duration: 120
Exchange duration: 240
Exchange duration: 120
Exchange duration: 280
Exchange duration: 130
Exchange duration: 100
Exchange duration: 490
Exchange duration: 240
Exchange duration: 210
Exchange duration: 220
Exchange duration: 160
Exchange duration: 200
Exchange duration: 220
Exchange duration: 230
Exchange duration: 120
Exchange duration: 220
Exchange duration: 190
Exchange duration: 210
Exchange duration: 200
Exchange duration: 140
Exchange duration: 140
Exchange duration: 520
Exchange duration: 290
Exchange duration: 210
Exchange duration: 210
Exchange duration: 200
Exchange duration: 230
Exchange duration: 130
Exchange duration: 210
Exchange duration: 240
Exchange duration: 230
Exchange duration: 210
Exchange duration: 240
Exchange duration: 350
Exchange duration: 210
Exchange duration: 240
Exchange duration: 140
Exchange duration: 210
Exchange duration: 250
Exchange duration: 230
Exchange duration: 220
Exchange duration: 370
Exchange duration: 220
Exchange duration: 50
Exchange duration: 150
Exchange duration: 220
Exchange duration: 210
Exchange duration: 160
Exchange duration: 210
Exchange duration: 140
Exchange duration: 440
Exchange duration: 530
Exchange duration: 280
Exchange duration: 210
Exchange duration: 220
Exchange duration: 210
Exchange duration: 210
Exchange duration: 230
Exchange duration: 130
Exchange duration: 280
Exchange duration: 240
Exchange duration: 220
Exchange duration: 200
Exchange duration: 270
Exchange duration: 130
Exchange duration: 140
Exchange duration: 220
Exchange duration: 210
Exchange duration: 150
Exchange duration: 210
Exchange duration: 240
Exchange duration: 700
Exchange duration: 250
Exchange duration: 220
Exchange duration: 260
Exchange duration: 320
Exchange duration: 240
Exchange duration: 130
Exchange duration: 150
Exchange duration: 50
Exchange duration: 220
Exchange duration: 340
Exchange duration: 460
Exchange duration: 150
Exchange duration: 130
Exchange duration: 150
Exchange duration: 270
Exchange duration: 220
Exchange duration: 250
Exchange duration: 120
Exchange duration: 200
Exchange duration: 200
Exchange duration: 130
Exchange duration: 140
Exchange duration: 210
Exchange duration: 130
Exchange duration: 120
Exchange duration: 430
Exchange duration: 220
Exchange duration: 120
Exchange duration: 520
Exchange duration: 210
Exchange duration: 220
Exchange duration: 150
Exchange duration: 170
Exchange duration: 210
Exchange duration: 260
Exchange duration: 220
Exchange duration: 210
Exchange duration: 230
Exchange duration: 530
Exchange duration: 210
Exchange duration: 230
Exchange duration: 230
Exchange duration: 220
Exchange duration: 210
Exchange duration: 200
Exchange duration: 250
Exchange duration: 50
Exchange duration: 230
Exchange duration: 230
Exchange duration: 220
Exchange duration: 130
Exchange duration: 220
Exchange duration: 250
Exchange duration: 550
Exchange duration: 290timeout: the monitored command dumped core
